"","Firm_id","Firm","Year","Firm_value","Count","Green_inn","Location","Age","Sales","Sales_growth","Total_assets","Total_debt","Leverage","Tshare_equity","ROA","ROE","Size"
"190","COX-FR","COX",2011,87.99424,40,3.7136,"FR",15,0,-100,95829,82,0.085569,84324,-15.939863,-18.002078,11.4703206321378
"191","COX-FR","COX",2013,86.907644,27,3.3322,"FR",17,747,-90.189125,70629,151,0.213793,61382,-23.446788,-26.696387,11.1651961040131
"192","COX-FR","COX",2014,79.242609,42,3.7612,"FR",18,5982,700.803223,131240,536,0.408412,103998,-21.518906,-26.26678,11.784782987075
"193","COX-FR","COX",2015,62.033817,32,3.4965,"FR",19,9963,66.549652,163348,1875,1.147856,101331,-18.968186,-27.213886,12.0036381733057
"194","COX-FR","COX",2016,70.285987,38,3.6636,"FR",20,16,-99.839409,148748,62,0.041681,104549,-4.320465,-6.549446,11.9100088779393
"195","COX-FR","COX",2017,84.212358,34,3.5553,"FR",21,15080,94150,152252,50,0.03284,128215,-5.512292,-7.12825,11.9332923217749
"196","COX-FR","COX",2018,82.006638,19,2.9957,"FR",22,4717,-68.720161,138590,85,0.061332,113653,-12.646729,-15.207469,11.8392752130628
"197","COX-FR","COX",2019,76.5353,29,3.4012,"FR",23,8260,75.111298,142806,12649,8.857471,109297,-13.448663,-16.974209,11.8692423448117
"198","CUV-AU","CUV",2006,81.945683,0,0,"AU",19,463.647872,505.708466,9918.895071,0,0,8128.106311,-79.398228,-100.442417,9.20219681010349
"199","CUV-AU","CUV",2007,96.412918,0,0,"AU",20,170.451059,-62.468105,42606.728248,0,0,41078.390106,-21.617428,-23.119295,10.6597674598801
"200","CUV-AU","CUV",2008,94.258325,1,0.6931,"AU",21,0,-100,33482.078396,0,0,31559.646436,-23.870241,-25.008531,10.4187656014102
"201","CUV-AU","CUV",2012,85.258517,1,0.6931,"AU",25,557.552345,-30.568064,12919.868257,0,0,11015.288106,-54.021182,-65.016382,9.46652158045798
